Year,Name,num_babies,Popularity
1980,Michael,68680,1
1981,Michael,68765,1
1982,Michael,68228,1
1983,Michael,67993,1
1984,Michael,67732,1
1985,Michael,64899,1
1986,Michael,64202,1
1987,Michael,63642,1
1988,Michael,64123,1
1989,Michael,65381,1
1990,Michael,65276,1
1991,Michael,60783,1
1992,Michael,54387,1
1993,Michael,49552,1
1994,Michael,44467,1
1995,Michael,41403,1
1996,Michael,38364,1
1997,Michael,37548,1
1998,Michael,36614,1
1999,Michael,33908,2
2000,Michael,32033,2
2001,Michael,29679,2
2002,Michael,28245,2
2003,Michael,27114,2
2004,Michael,25448,2
2005,Michael,23807,2
2006,Michael,22630,2
2007,Michael,21979,2
2008,Michael,20609,2
2009,Michael,18927,3
