Year,Name,num_babies,Popularity
1980,Jessica,33923,3
1981,Jessica,42530,2
1982,Jessica,45444,2
1983,Jessica,45281,2
1984,Jessica,45854,2
1985,Jessica,48345,1
1986,Jessica,52668,1
1987,Jessica,55988,1
1988,Jessica,51537,1
1989,Jessica,47882,1
1990,Jessica,46473,1
1991,Jessica,43396,2
1992,Jessica,38354,2
1993,Jessica,34987,1
1994,Jessica,32118,1
1995,Jessica,27934,1
1996,Jessica,24194,2
1997,Jessica,21042,2
1998,Jessica,18235,8
1999,Jessica,16346,9
2000,Jessica,15706,8
2001,Jessica,13919,11
2002,Jessica,11915,16
2003,Jessica,10446,18
2004,Jessica,9469,21
2005,Jessica,8109,27
2006,Jessica,6810,32
2007,Jessica,5706,42
2008,Jessica,4727,60
2009,Jessica,3783,78
