Name,Year,Popularity,Name,Year,Popularity,diff
Colton,1980,5789,Colton,2009,149,-5640
Aidan,1980,5691,Aidan,2009,109,-5582
Rowan,1980,5772,Rowan,2009,445,-5327
Skylar,1980,5498,Skylar,2009,313,-5185
Macy,1980,5615,Macy,2009,571,-5044
Kiara,1980,5588,Kiara,2009,568,-5020
Rylan,1980,5332,Rylan,2009,320,-5012
Kyler,1980,5497,Kyler,2009,511,-4986
Lexi,1980,5505,Lexi,2009,537,-4968
Lilah,1980,5604,Lilah,2009,722,-4882
Aliyah,1980,5186,Aliyah,2009,351,-4835
Matteo,1980,5753,Matteo,2009,957,-4796
Bailey,1980,4925,Bailey,2009,186,-4739
Mila,1980,5621,Mila,2009,900,-4721
Kale,1980,5745,Kale,2009,1071,-4674
Makayla,1980,4799,Makayla,2009,128,-4671
Aria,1980,5535,Aria,2009,961,-4574
Griffin,1980,5009,Griffin,2009,439,-4570
Norah,1980,5230,Norah,2009,672,-4558
Kenzie,1980,5408,Kenzie,2009,857,-4551
Jayleen,1980,5575,Jayleen,2009,1040,-4535
Walker,1980,5490,Walker,2009,967,-4523
Reese,1980,4735,Reese,2009,264,-4471
Jaycee,1980,5573,Jaycee,2009,1102,-4471
Dakota,1980,4702,Dakota,2009,282,-4420
Cooper,1980,4552,Cooper,2009,137,-4415
Aden,1980,4909,Aden,2009,497,-4412
Nasir,1980,5352,Nasir,2009,965,-4387
Abril,1980,5519,Abril,2009,1154,-4365
Paxton,1980,4972,Paxton,2009,642,-4330
Serenity,1980,4538,Serenity,2009,213,-4325
Mateo,1980,4726,Mateo,2009,434,-4292
Cherish,1980,5545,Cherish,2009,1267,-4278
Tate,1980,5077,Tate,2009,902,-4175
Ryland,1980,5333,Ryland,2009,1184,-4149
Bella,1980,4295,Bella,2009,156,-4139
Ronan,1980,5302,Ronan,2009,1187,-4115
Anabella,1980,5528,Anabella,2009,1441,-4087
Fernanda,1980,4611,Fernanda,2009,527,-4084
Ace,1980,5331,Ace,2009,1262,-4069
Matthias,1980,5754,Matthias,2009,1699,-4055
Leighton,1980,5106,Leighton,2009,1055,-4051
Luna,1980,4640,Luna,2009,646,-3994
Emely,1980,4608,Emely,2009,616,-3992
Gisselle,1980,5200,Gisselle,2009,1244,-3956
Payton,1980,4070,Payton,2009,155,-3915
Eloise,1980,5562,Eloise,2009,1685,-3877
Arely,1980,5028,Arely,2009,1164,-3864
Karlie,1980,5582,Karlie,2009,1730,-3852
Sienna,1980,4262,Sienna,2009,416,-3846
Giovanny,1980,5280,Giovanny,2009,1455,-3825
Kellen,1980,4721,Kellen,2009,897,-3824
Braxton,1980,4101,Braxton,2009,321,-3780
Kaila,1980,5579,Kaila,2009,1799,-3780
Isabelle,1980,4005,Isabelle,2009,228,-3777
Dayana,1980,4599,Dayana,2009,822,-3777
Miracle,1980,4651,Miracle,2009,879,-3772
Reece,1980,4484,Reece,2009,719,-3765
Chandler,1980,4699,Chandler,2009,937,-3762
Kameron,1980,4239,Kameron,2009,522,-3717
Keira,1980,4025,Keira,2009,315,-3710
Anahi,1980,4584,Anahi,2009,881,-3703
Drake,1980,4089,Drake,2009,433,-3656
Savannah,1980,3756,Savannah,2009,115,-3641
Kallie,1980,4982,Kallie,2009,1353,-3629
Kianna,1980,5587,Kianna,2009,1965,-3622
Kaley,1980,5401,Kaley,2009,1809,-3592
Julien,1980,4719,Julien,2009,1139,-3580
Messiah,1980,4889,Messiah,2009,1344,-3545
Hadassah,1980,5201,Hadassah,2009,1656,-3545
Adeline,1980,4225,Adeline,2009,686,-3539
Millie,1980,5043,Millie,2009,1530,-3513
Giana,1980,4612,Giana,2009,1106,-3506
Lauryn,1980,4386,Lauryn,2009,885,-3501
Ellie,1980,3809,Ellie,2009,319,-3490
Cheyanne,1980,4592,Cheyanne,2009,1107,-3485
Taniya,1980,5050,Taniya,2009,1566,-3484
Marquez,1980,5752,Marquez,2009,2269,-3483
Ashlyn,1980,3799,Ashlyn,2009,323,-3476
Joselyn,1980,4109,Joselyn,2009,670,-3439
Keeley,1980,5362,Keeley,2009,1926,-3436
Markell,1980,5751,Markell,2009,2332,-3419
Malachi,1980,3691,Malachi,2009,306,-3385
Kalyn,1980,5402,Kalyn,2009,2021,-3381
Darien,1980,5348,Darien,2009,1968,-3380
Zaira,1980,5688,Zaira,2009,2319,-3369
Kairi,1980,5351,Kairi,2009,2000,-3351
Ellery,1980,5720,Ellery,2009,2373,-3347
Grayson,1980,3648,Grayson,2009,309,-3339
Bryanna,1980,4491,Bryanna,2009,1173,-3318
Amirah,1980,4800,Amirah,2009,1485,-3315
Halle,1980,4321,Halle,2009,1008,-3313
Kiera,1980,3942,Kiera,2009,669,-3273
Yuridia,1980,5687,Yuridia,2009,2416,-3271
Charlee,1980,4591,Charlee,2009,1323,-3268
Heaven,1980,3819,Heaven,2009,555,-3264
Axel,1980,3774,Axel,2009,516,-3258
Quinten,1980,5133,Quinten,2009,1878,-3255
Brooklyn,1980,3364,Brooklyn,2009,112,-3252
Lilly,1980,3497,Lilly,2009,260,-3237
Landry,1980,4787,Landry,2009,1550,-3237
Jericho,1980,5741,Jericho,2009,2506,-3235
Zainab,1980,5260,Zainab,2009,2045,-3215
Rohan,1980,4318,Rohan,2009,1120,-3198
Anabelle,1980,4227,Anabelle,2009,1033,-3194
Tegan,1980,4683,Tegan,2009,1493,-3190
Genesis,1980,3379,Genesis,2009,197,-3182
Yousef,1980,5318,Yousef,2009,2145,-3173
Vivianna,1980,5444,Vivianna,2009,2272,-3172
Felicity,1980,4610,Felicity,2009,1446,-3164
Aleah,1980,4124,Aleah,2009,978,-3146
Amara,1980,4226,Amara,2009,1091,-3135
Gianni,1980,4170,Gianni,2009,1054,-3116
Leyla,1980,4510,Leyla,2009,1395,-3115
Sage,1980,3719,Sage,2009,618,-3101
Nikolai,1980,4730,Nikolai,2009,1634,-3096
Ashton,1980,3269,Ashton,2009,194,-3075
Adriel,1980,4122,Adriel,2009,1069,-3053
Hayden,1980,3124,Hayden,2009,90,-3034
Liberty,1980,4006,Liberty,2009,973,-3033
Laila,1980,3319,Laila,2009,300,-3019
Alondra,1980,3483,Alondra,2009,469,-3014
Isabell,1980,4503,Isabell,2009,1490,-3013
